EGY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
23501;Head of State;Mohammed Hosni Mubarak;2003;2050;2050;SL;Autocratic Charmer;High;M23501;x
23502;Head of Government;Atef Mohamed Ebeid;2003;2050;2050;SD;Happy Amateur;High;M23502;x
23503;Foreign Minister;Ahmed Maher;2003;2050;2050;SD;The Cloak N Dagger Schemer;High;M23503;x
23504;Minister of Armament;Mohamed Hussein Tantawi;2003;2050;2050;SL;Military Entrepreneur;High;M23504;x
23505;Minister of Security;Habib Ibrahim El Adly;2003;2050;2050;SL;Crime Fighter;High;Hieadly;x
23506;Head of Military Intelligence;Mohamed Safwat El-Sherif;2003;2050;2050;SL;Technical Specialist;High;M23506;x
23507;Chief of Staff;Sa'd Eddine Al-Shazeli;2003;2050;2050;NA;School of Mass Combat;High;M23507;x
23508;Chief of Army;Sa'd Eddine Al-Shazeli;2003;2050;2050;NA;Decisive Battle Doctrine;High;M23507;x
23509;Chief of Navy;Ahmed Saber Selim;2003;2050;2050;NA;Indirect Approach Doctrine;High;M23509;x
23510;Chief of Air Force;Magdy Galal Sharawi;2003;2050;2050;NA;Air Superiority Doctrine;High;M23510;x
;Replacements;;;;;;;x
23511;Head of Government;Ahmed Nazif;2003;2050;2050;SL;Silent Workhorse;High;Anazif;x
23512;Minister of Security;Farouq Seif al-Nasr;2003;2050;2050;SL;Silent Lawyer;High;M23505;x
23513;Foreign Minister;Ahmed Aboul Gheit;2003;2050;2050;SL;Great Compromiser;High;Aagheit;x
23514;Minister of Security;Alaa Abdul Moneim;2003;2050;2050;SL;Silent Lawyer;High;Aamoneim;x
23515;Minister of Armament;Ahmed Ezz;2005;2050;2050;SL;Administrative Genius;High;Aezz;x
23516;Foreign Minister;Mohamed Mostafa Kamal;2005;2050;2050;SL;Biased Intellectual;High;Mmkamal;x
23517;Head of State;Gamal Mubarak;2011;2050;2050;SL;Insignificant Layman;High;Gmubarak;x
23518;Head of State;Ayman al-Zawahiri;2003;2050;2050;NS;powerhungry demagogue;High;Aazawahiri;x
23519;Head of Government;Ayman al-Zawahiri;2003;2050;2050;NS;Backroom Backstabber;High;Aazawahiri;x
23520;Foreign Minister;Hani al-Sibai;2003;2050;2050;NS;Ideological Crusader;High;Hasibai;x
23521;Minister of Armament;Mohammad Al Ayyat;2003;2050;2050;PA;Resource Industrialist;High;Maayyat;x
23522;Minister of Security;Mohammad Hilmi;2003;2050;2050;PA;Silent Lawyer;High;Mhilmi;x
23523;Head of Government;Mohamed Morsi;2003;2050;2050;SL;Silent Workhorse;High;Mohamed Morsi;x